question,answer
Could you explain Encryption security warnings?,"Encryption security warnings: ""alert me whenever"" should stay checked"
Could you explain bookmark schedule?,bookmark schedule opens some sort off cros betwean mozilla and phoenix(0.2)
What can you tell me about sort?,bookmark schedule opens some sort off cros betwean mozilla and phoenix(0.2)
Could you explain mozilla?,bookmark schedule opens some sort off cros betwean mozilla and phoenix(0.2)
Could you explain phoenix?,bookmark schedule opens some sort off cros betwean mozilla and phoenix(0.2)
How would you describe customization?,Toolbar customization doesn't work properly
Could you explain Moz ] Make?,[Moz] Make the 'set as bookmark toolbar folder' not suck
What can you tell me about 'set?,[Moz] Make the 'set as bookmark toolbar folder' not suck
What can you tell me about bookmark toolbar folder?,[Moz] Make the 'set as bookmark toolbar folder' not suck
Could you explain error?,minor error with Go button's tooltip
What can you tell me about Go button?,minor error with Go button's tooltip
Could you explain tooltip?,minor error with Go button's tooltip
What does it mean when click?,right click on URL field down arrow bug
What does it mean when URL field?,right click on URL field down arrow bug
Could you explain bug?,right click on URL field down arrow bug
What does it mean when list?,add toolbar list to context menu of toolbars
What can you tell me about menu?,add toolbar list to context menu of toolbars
How would you describe toolbars?,add toolbar list to context menu of toolbars
What can you tell me about [ cust ] Set flex?,[cust] Set flex on textbox in toolbar
What does it mean when textbox?,[cust] Set flex on textbox in toolbar
Could you explain toolbar?,[cust] Set flex on textbox in toolbar
Could you explain Custom toolbars?,Custom toolbars are always visible when opening a window.
What can you tell me about window?,Custom toolbars are always visible when opening a window.
Could you explain javascript click?,javascript click() fails to activate links
How would you describe links?,javascript click() fails to activate links
How would you describe Bookmark menu?,Bookmark menu refuses to scroll down
What does it mean when mouse-gestures?,Maybe you implement some mouse-gestures
Could you explain Focus Search bar shortcut?,Focus Search bar shortcut not compatable with foreign keyboard layout
What does it mean when keyboard layout?,Focus Search bar shortcut not compatable with foreign keyboard layout
How would you describe Paste?,Paste does not work in HTTP-proxy field
What can you tell me about field?,Paste does not work in HTTP-proxy field
What can you tell me about Proxy?,Proxy: Support for Microsoft Proxy Server?
Could you explain Support?,Proxy: Support for Microsoft Proxy Server?
What does it mean when Microsoft Proxy Server?,Proxy: Support for Microsoft Proxy Server?
How would you describe Sidebar?,Sidebar does not persist state across sessions
Could you explain state?,Sidebar does not persist state across sessions
How would you describe sessions?,Sidebar does not persist state across sessions
Could you explain Crash?,"Crash when trying to browse ""back"" after the PDF file failed to be generated"
What does it mean when PDF file?,"Crash when trying to browse ""back"" after the PDF file failed to be generated"
What does it mean when Window?,Window locked after using About Phoenix dialog
What can you tell me about Phoenix dialog?,Window locked after using About Phoenix dialog
Could you explain group bookmark?,group bookmark doesn't reload tabs
What does it mean when tabs?,group bookmark doesn't reload tabs
Could you explain bookmarks?,when placing bookmarks and nav toolbar on the same row
What can you tell me about toolbar?,when placing bookmarks and nav toolbar on the same row
How would you describe row?,when placing bookmarks and nav toolbar on the same row
What can you tell me about Print Preview toolbar?,Print Preview toolbar is busted
Could you explain History Quick Search?,History Quick Search should be case insensitive
What can you tell me about case?,History Quick Search should be case insensitive
Could you explain Support context menus?,Support context menus on menuitems
Could you explain menuitems?,Support context menus on menuitems
How would you describe add bookmark dialog?,new add bookmark dialog
How would you describe Sidebars?,Sidebars need tooltips for croppeed text
How would you describe tooltips?,Sidebars need tooltips for croppeed text
What can you tell me about croppeed text?,Sidebars need tooltips for croppeed text
What can you tell me about Preferences?,Preferences broken when using Windowblinds
What can you tell me about Windowblinds?,Preferences broken when using Windowblinds
What can you tell me about Ca?,Can't DnD reorder bookmarks in the same folder on Personal Toolbar
How would you describe DnD?,Can't DnD reorder bookmarks in the same folder on Personal Toolbar
Could you explain bookmarks?,Can't DnD reorder bookmarks in the same folder on Personal Toolbar
What can you tell me about folder?,Can't DnD reorder bookmarks in the same folder on Personal Toolbar
Could you explain Personal Toolbar?,Can't DnD reorder bookmarks in the same folder on Personal Toolbar
Could you explain Phoenix?,Phoenix doesn't build with jprof enabled
What can you tell me about jprof?,Phoenix doesn't build with jprof enabled
Could you explain Javascript?,Can not use Javascript to add new side bar
What can you tell me about side bar?,Can not use Javascript to add new side bar
How would you describe Save Page As shuld offer Page Caption?,Save Page As shuld offer Page Caption as file name
How would you describe file name?,Save Page As shuld offer Page Caption as file name
Could you explain Drag URL?,Drag URL from Navigation toolbar to Bookmarks Menu don't work
What does it mean when Navigation toolbar?,Drag URL from Navigation toolbar to Bookmarks Menu don't work
What can you tell me about Bookmarks Menu?,Drag URL from Navigation toolbar to Bookmarks Menu don't work
